# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       28.336     8400.730
       0.125      191.000       66.270     9114.645
       0.235      239.300       96.238     9198.645
       0.343      278.400      108.777     9198.645
       0.451      276.000      122.898     9718.707
       0.560      246.500      130.988     9724.707
       0.674      247.000      133.766     9724.707
       0.783      251.500      144.902     9724.707
       0.890      256.000      146.145     9724.707
       1.000      266.600      148.664     9724.707
       1.116      240.500      159.113     9797.707
       1.228      250.600      171.168     9797.707
       1.352      246.900      181.250     9797.707
       1.462      235.100      194.379     9797.707
       1.571      273.400      210.867     9797.707
       1.685      288.100      220.035     9797.707
       1.796      254.700      232.938     9800.707
       1.907      256.800      243.660     9799.707
       2.015      237.000      256.145     9799.707
       2.125      257.300      265.879     9799.707
       2.234      220.700      277.961     9799.707
       2.347      167.200      294.137     9807.707
       2.455      206.600      303.961     9872.707
       2.566      290.200      317.238    10067.730
       2.676      225.300      176.500    10067.730
       2.796      235.600      185.000    10067.785
       2.906      250.300      192.582    10068.785
       3.018      249.700      197.586    10068.785
       3.133      124.700      197.984    10262.785
       3.242       27.000        0.973        2.824
