# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.457      300.105
       0.011      145.100       57.457      304.105
       0.025       79.500       65.355      308.113
       0.037      129.800       72.422      457.121
       0.053       78.100       76.445      460.121
       0.066       57.800       80.363      464.121
       0.083      147.900       84.660      623.133
       0.097        0.000       84.660      623.133
       0.112        0.000       84.660      623.133
       0.127        0.000       84.660      623.133
       0.140        0.000       84.660      623.133
       0.149        0.000       84.660      623.133
       0.158        0.000       84.660      623.133
       0.168        0.000       84.660      623.133
       0.178        0.000       84.660      623.133
       0.187        0.000       84.660      623.133
       0.196        0.000       84.660      623.133
       0.204        0.000       84.660      623.133
       0.213        0.000       84.660      623.133
       0.222        0.000       84.660      623.133
       0.230        0.000       84.660      623.133
       0.239        0.000       84.660      623.133
       0.248        0.000       84.660      623.133
       0.258        0.000       84.660      623.133
       0.267        0.000       84.660      623.133
       0.275        0.000       84.660      623.133
       0.283        0.000       84.660      623.133
       0.293        0.000        0.938        2.824
